procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 240384 2742700 841688 4451968    0    0     2   309 2806 2521  1  0 99  0  0
 0  0 240384 2708776 841696 4488576    0    0    10   154 4418 4060  2  1 98  0  0
 0  0 240384 2689756 841712 4511120    0    0     4   765 4562 6242  3  1 96  0  0
 0  0 240384 2740548 841732 4476404    0    0     4    78 3458 4263  2  1 97  0  0
 0  0 240384 2753092 841736 4463084    0    0     3    41 2493 3400  1  1 98  0  0
 0  0 240384 2752508 841736 4463348    0    0     3    18  895 2189  1  1 98  0  0
 0  0 240384 2714788 841760 4481836    0    0  3210  2914 3166 3883  2  1 97  0  0
 0  0 240384 2712632 841784 4492344    0    0     7    23 3411 4652  2  1 97  0  0
 0  0 240384 2639220 842044 4555816    0    0     5  1159 3457 5278  3  1 96  1  0
 1  0 240384 2643948 842056 4554284    0    0     3   111 4727 6294  3  1 95  0  0
 1  0 240384 2655828 842060 4528696    0    0     3   194 4091 5849  3  1 95  0  0
 0  0 240384 2670644 842096 4508996    0    0    33     1 3249 4164  2  1 97  0  0
 3  0 240384 2677260 842236 4507908    0    0   224  1104 2480 4267  2  1 97  0  0
 0  0 240384 2605916 842240 4514976    0    0    97   378 3531 7516  3  1 96  0  0
 0  0 240384 2617668 842400 4511420    0    0     4   677 4468 6393  3  1 95  0  0
 0  0 240384 2610944 842572 4521584    0    0    36   162 4016 5389  3  2 95  0  0
 0  0 240384 2612776 842680 4522168    0    0     3  1813 4431 5973  3  1 96  0  0
 1  0 240384 2646492 842756 4518840    0    0    18     1 4594 6078  3  1 95  0  0
 0  0 240384 2657284 842772 4510012    0    0     3   126 2772 4478  3  1 96  0  0
 2  0 240384 2675872 842776 4485372    0    0     3   246 2236 3203  1  1 98  0  0
 0  0 240384 2668932 843084 4489552    0    0    23   994 2652 4273  2  1 97  0  0
 0  0 240384 2654148 843088 4505364    0    0     3     1 1597 3155  2  1 97  0  0
 1  0 240384 2633272 843096 4522416    0    0     3    38 3259 4113  2  1 97  0  0
 0  0 240384 2666712 843104 4484908    0    0     3   246 2218 3213  2  1 98  0  0
 2  0 240384 2639428 843132 4508108    0    0    69   497 5361 7688  5  1 94  0  0
 0  0 240384 2622284 843180 4523008    0    0     3   152 4788 6815  4  1 94  0  0
 0  0 240384 2627652 843196 4556536    0    0     8   235 5765 41800  5  2 93  0  0
 1  0 240384 2654884 843212 4519032    0    0    53   277 4443 6004  4  1 95  0  0
 0  0 240384 2726684 843340 4527044    0    0  8347   725 8734 22236 10  3 87  0  0
 2  0 240384 2702012 843372 4496216    0    0    42   130 5241 8716  4  1 95  0  0
 1  0 240384 2752320 846980 4544452    0    0  5083   230 7336 9313  7  2 91  0  0
 0  0 240384 2671496 847124 4592724    0    0  1442  2736 4929 7051  5  1 93  0  0
 1  0 240384 2685784 847400 4559504    0    0    23  6181 3119 5465  2  1 96  0  0
 0  0 240384 2726340 847424 4540996    0    0     3    67 3520 4149  3  2 95  0  0
 0  0 240384 2751604 847436 4568340    0    0     3   159 4645 6333  5  3 92  0  0
 0  0 240384 2770288 847500 4559424    0    0    15     1 3824 5811  3  3 94  0  0
 0  0 240384 2781424 847512 4553040    0    0     3   112 2846 4222  2  1 97  0  0
 0  0 240384 2770096 847528 4556844    0    0     4   359 3714 6001  3  3 94  0  0
 0  0 240384 2805488 847536 4529748    0    0     3   769 4112 4162  2  1 98  0  0
 0  0 240384 2759548 847668 4565732    0    0    29  2034 3775 6065  4  3 93  0  0
 0  0 240384 2727888 847684 4596628    0    0     3   154 4193 5460  3  1 96  0  0
 0  0 240384 2801392 847748 4542224    0    0     3   254 2870 4434  3  1 96  0  0
 0  0 240384 2786400 847756 4558872    0    0     3    36 4008 4888  2  1 97  0  0
 0  0 240384 2789588 847756 4545264    0    0     3    86 1686 2954  2  0 98  0  0
 0  0 240384 2725568 848100 4609068    0    0     3  1016 3943 6305  3  1 95  0  0
 1  0 240384 2796992 848172 4529260    0    0     3   510 2485 3695  2  1 97  0  0
 0  0 240384 2671828 848180 4575288    0    0     4   660 5022 8449  6  1 93  0  0
 2  0 240384 2676804 848188 4570736    0    0     3    70 5206 9371  7  2 92  0  0
 1  1 240384 2629340 848340 4604728    0    0   327   228 5819 9706  7  2 91  0  0
 1  0 240384 2646016 848340 4602664    0    0     3   104 5804 9659  7  2 91  0  0
 3  0 240384 2625472 848352 4607992    0    0    38    60 5473 6655  4  1 94  0  0
 0  0 240384 2675636 848360 4568472    0    0     4   290 2221 4306  3  1 96  0  0
 0  0 240384 2672968 848392 4566016    0    0     4   269  954 2384  1  0 98  0  0
 1  0 240384 2679284 848392 4566020    0    0     5   930  854 2277  1  0 98  0  0
 0  0 240384 2682612 848396 4566120    0    0     4   975  857 2203  1  0 98  0  0
 0  0 240384 2684948 848412 4565912    0    0     4   186  842 2152  1  0 98  0  0
 3  0 240384 2673000 848680 4566800    0    0     4   630 1190 3226  2  0 97  0  0
 0  0 240384 2670672 848680 4565928    0    0     4    62  848 2200  1  0 98  0  0
 1  0 240384 2657328 848680 4569908    0    0     4   130 1809 5251  4  1 95  0  0
 0  0 240384 2662464 848684 4572300    0    0     4   301 1030 2670  1  0 98  0  0
 0  0 240384 2672828 848700 4555616    0    0     4    56  891 2301  1  0 98  0  0
 0  0 240384 2693848 848708 4555616    0    0     4   214 1158 2655  2  0 98  0  0
 0  0 240384 2714812 848732 4555616    0    0     4   196 1366 2976  3  0 97  0  0
 0  0 240384 2713412 848732 4555612    0    0     4     1  834 2196  1  0 99  0  0
