procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5005124 898224 5849448    0    0     0   938 1026 2851  1  0 98  0  0
 0  0      0 4988152 898236 5864676    0    0     0    50 1011 2284  1  0 98  0  0
 0  0      0 5007344 898236 5848796    0    0     0   109  732 1724  1  0 99  0  0
 0  0      0 5006616 898240 5848732    0    0     0    98  754 1757  1  0 99  0  0
 2  0      0 5002180 898248 5854644    0    0     0    22 3172 3384  1  1 98  0  0
 1  0      0 5020352 898248 5852100    0    0     0    54 3183 3359  2  1 98  0  0
 0  0      0 5034948 898248 5847964    0    0     0    47  807 1887  1  0 99  0  0
 0  0      0 5034800 898276 5848404    0    0     0    86  847 2104  1  0 99  0  0
 1  0      0 5035864 898280 5847840    0    0     0    75  778 1770  1  0 99  0  0
 0  0      0 5034912 898280 5848420    0    0     0    39  746 1756  1  0 99  0  0
 0  0      0 5031488 898284 5847956    0    0     0    78  790 1809  1  0 99  0  0
 0  0      0 5031248 898292 5847956    0    0     0    33  754 1725  1  0 99  0  0
 0  0      0 5026380 898772 5848068    0    0     0   903 1020 3020  1  0 98  0  0
 2  0      0 4972312 898780 5865420    0    0     0    90 2825 7590  5  2 94  0  0
 1  0      0 4963232 898784 5872872    0    0     0   171 1054 2592  1  1 98  0  0
 0  0      0 4977492 898804 5856232    0    0     0    95  768 1729  1  0 99  0  0
 1  0      0 4990828 898812 5854844    0    0     0   130  797 1807  1  0 99  0  0
 1  0      0 4985776 898820 5851648    0    0     0    89  809 1908  1  0 99  0  0
 0  0      0 5001216 898820 5853856    0    0     0    40 1409 2588  1  0 98  0  0
 0  0      0 5019692 898828 5851096    0    0     0   254 3047 5113  3  1 96  0  0
 1  0      0 5026316 898832 5848148    0    0     0   434 1211 2143  1  1 98  0  0
 0  0      0 5002488 898832 5869964    0    0     0    19 2862 4601  2  1 97  0  0
 0  0      0 5014792 898832 5869224    0    0     0   142 1605 2300  1  0 99  0  0
 1  0      0 5019228 898848 5860304    0    0     0    42 2949 3450  1  1 98  0  0
 0  0      0 5005428 899252 5859100    0    0     0   878 3790 5092  2  1 97  0  0
 0  0      0 4985628 899260 5873396    0    0     0    27 3293 3754  1  1 98  0  0
 0  0      0 5004592 899260 5851996    0    0     0     6 2979 2990  1  1 98  0  0
 0  0      0 5004212 899280 5852028    0    0     0   219 1296 2323  1  0 98  0  0
 1  0      0 5003972 899288 5856324    0    0     0    41 3458 4715  2  1 97  0  0
 0  0      0 5004752 899292 5854788    0    0     0    23  787 1913  1  0 99  0  0
 0  0      0 5008160 899304 5851788    0    0     0    90  882 2246  1  0 98  0  0
 0  0      0 5006672 899316 5853204    0    0     0    73  804 2017  1  0 99  0  0
 0  0      0 5002776 899324 5853468    0    0     0   102  741 1852  1  0 99  0  0
 0  0      0 5001728 899332 5853432    0    0     0    46  785 2034  1  0 99  0  0
 0  0      0 4995088 899336 5853520    0    0     0    59  848 2221  1  0 99  0  0
 0  0      0 5002336 899340 5853456    0    0     0    78 1090 2034  1  0 98  0  0
 0  0      0 5005332 899764 5853796    0    0     0   952 1086 3115  1  0 98  0  0
 0  0      0 4989440 899772 5872964    0    0     0    16 1747 4489  3  1 96  0  0
 0  0      0 5011292 899772 5848260    0    0     0    89  801 1862  1  0 99  0  0
 0  0      0 5008544 899788 5848836    0    0     0   161  809 1901  1  0 99  0  0
 0  0      0 5008932 899796 5850384    0    0     0    57  802 1965  1  0 99  0  0
 0  0      0 5008992 899804 5850636    0    0     0    27  796 1941  1  0 99  0  0
 0  0      0 5017308 899808 5850388    0    0     0    22  784 1898  1  0 99  0  0
 0  0      0 5021892 899828 5850336    0    0     0   117  888 2175  1  0 99  0  0
 0  0      0 5018520 899836 5850412    0    0     0    50  877 2120  1  0 99  0  0
 0  0      0 5017108 899836 5850348    0    0     0    81  832 1941  1  0 99  0  0
 0  0      0 5016472 899840 5850596    0    0     0    51  788 1893  1  0 99  0  0
 0  0      0 5015468 899840 5850336    0    0     0    36  796 1950  1  0 99  0  0
